,Rank_Grupo,Produto,Grupo,Marca,Quantidade,Custo_Total,%_Valor_no_Grupo,Dias,Ult_Compra,Ult_Venda,Faixa_Obsolescencia,Score_Priorizacao,Classificacao_ABC,Acao_Sugerida
910,4,PARAF.ESTOJO A/C A193 B7 ZIC. UNC 3/4 X 4.1/2 C/ PO+AR CJ (2232),FIXA - PARAFUSOS - BARRAS,METHAFIX,7,"R$ 98,51",23.2%,979,24/07/2023,26/07/2023,Crítico,18.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1575,4,VALV.RED.PRESSAO 3010-MP ROSCA BSP  1 MOLA B PC (13486),VALV - CONTROLADORA - RED.PRESSAO,SF.BRASIL,1,"R$ 5.256,57",24.7%,755,11/10/2024,06/03/2024,Crítico,18.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
146,2,BASE INTERMEDIARIA P/VALV. PNEUM. 740 REXROTH 8985003922 PC (5064),PNHD - PNEUMATICA - PREPARACAO,REXROTH,15,"R$ 1.246,48",15.0%,2147,22/10/2020,14/05/2020,Crítico,18.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1357,3,"TUBO ACO S/C SCH 40   1/2 A106 GR.B (21,30x2,77)-IMP2 KG (12349)",TUBO - CARBONO - CONDUCAO,IMPORTADO,155,"R$ 2.993,30",18.3%,1625,14/05/2021,18/10/2021,Crítico,17.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
687,2,INC-MODULO ENDER. 10/40 PC (13320),INCN - ELETRICA - ALARME,SEGURIMAX,10,"R$ 845,91",13.2%,2295,14/12/2019,18/12/2019,Crítico,17.5%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1387,2,TUBO LA DE ROCHA   1/2 X 50 X 914MM THERMAX MT (5770),INDI - ISOLAMENTO - LA ROCHA,ROCKFIBRAS,87,"R$ 2.266,74",23.0%,872,10/04/2024,10/11/2023,Crítico,17.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1610,3,VALV.SEGURANCA BRONZE ASS.BRZ COMODORO VS100 1.1/4 X 1.1/4 PC (17786),VALV - SEGURANÇA - WCB/INOX/BRONZE,COMODORO/MBX,1,"R$ 1.776,73",25.8%,469,20/03/2025,17/12/2024,Obsoleto,17.4%,B (20% do valor),Promover com desconto controlado
647,2,"GAXETA FIBRA CERAMICA THERMOTEX 1200 12,70mm (1/2) KG (16116)",INDI - VEDACAO - GAXETAS,SOTEQUI,3,"R$ 478,09",24.8%,584,18/07/2023,24/08/2024,Alto,17.3%,A (70% do valor),Campanha comercial agressiva
1403,3,TUBO PVC COLETOR 200MM - CORR BR (5227),TUBO - PVC - INFRA,CORR PLASTIK,1,"R$ 422,41",17.4%,1649,05/02/2021,24/09/2021,Crítico,17.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1054,3,"PRESSOSTATO RT 5 FP (4-17) DA (1,2 A 4)BAR 3/8 PC (7797)",INDI - MEDICAO - PRESSAO,DANFOSS,2,"R$ 1.255,48",20.1%,1237,01/09/2023,10/11/2022,Crítico,17.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1585,3,VALV.RET.HOR.T/PISTAO METAL/METAL BRONZE 150 FIG 1322 1 BSP PC (13951),VALV - RETENCAO - BRONZE,DULONG,5,"R$ 788,17",23.5%,687,13/11/2023,13/05/2024,Alto,16.9%,A (70% do valor),Campanha comercial agressiva
747,2,JUNTA VEDACAO FLANGE PH1002/4340 1/8 RF 150# 12 - VERDE PC (8459),INDI - VEDACAO - JUNTAS,LGT,9,"R$ 749,55",21.2%,992,04/08/2023,13/07/2023,Crítico,16.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
970,2,POL-RODA LIXA 200X50 Gr60 PC (12652),CONS - ACESS - POLIMENTO,AGAPOL,3,"R$ 204,10",18.6%,1357,19/02/2024,13/07/2022,Crítico,16.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1574,6,VALV.PASS.RETA WCB P/AMONIA SOLDA 1.1/4 PO-32 PC (3170),VALV - GLOBO - REFRIGERACAO,VASTIN,4,"R$ 2.229,23",14.2%,1974,18/02/2021,03/11/2020,Crítico,16.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
672,3,INC-CENTRAL ALARME ENDER. 125L C/BATERIA PC (10352),INCN - ELETRICA - ALARME,SEGURIMAX,1,"R$ 1.175,08",18.4%,1344,26/08/2022,26/07/2022,Crítico,16.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1056,5,PURGADOR BOIA VAPOR PB-102 14 / 10BAR FOFO NOD. DN 020 3/4 BSP PC (5304),INDI - ACESSORIOS - PURGADORES,PLASNOX,1,"R$ 615,51",17.9%,1378,21/06/2022,22/06/2022,Crítico,16.5%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
515,5,EXTREMIDADE FOFO EBFJE10 150MM PC (2878),CONX - FERRO FUNDIDO - SANEAMENTO,,1,"R$ 267,25",12.4%,2150,08/05/2020,11/05/2020,Crítico,16.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
109,2,"AR-TUBO NYLON POLIAMIDA 12  08MM X 06MM X 1,00MM PRETO MT (13269)",PNHD - PNEUMATICA - TUBOS,ROTPLAST,34,"R$ 113,55",22.8%,655,25/11/2019,14/06/2024,Alto,16.4%,C (10% do valor),Campanha comercial agressiva
1519,2,VALV.GAVETA 1.1/2 BRONZE 1502  - DECA PC (1063),VALV - GAVETA - BRONZE,DECA,8,"R$ 695,89",23.7%,515,04/07/2022,01/11/2024,Obsoleto,16.4%,C (10% do valor),Promover com desconto controlado
262,8,CONJ.VEDACAO P/VALV.VEB F300 PTFE REF. 6 MGA - PRETO CJ (741),VALV - ESFERA - ACESSORIOS,MGA,1,"R$ 465,40",15.0%,1754,18/08/2021,11/06/2021,Crítico,16.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
474,4,ER ACOPLADOR ROSCA FEMEA EFI-D/ACI INOX 316 2.1/2 PC (12634),ACESS - ENGATES - CAMLOK,IMPORTADO,3,"R$ 682,12",9.5%,2527,04/12/2023,30/04/2019,Crítico,16.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1167,3,REDUCAO PVC IRRIGA 100 X 75MM - AMANCO PC (293),CONX - PVC - IRRIGACAO,AMANCO,11,"R$ 69,19",16.4%,1518,15/12/2016,02/02/2022,Crítico,16.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
711,10,INC-SINAL.FOTOL.SAIDA EMERG.SETA ADIANTE 26X13CM PC (11410),INCN - ACESSORIOS - SINALIZACAO,ALIEX,42,"R$ 166,14",9.2%,2520,15/04/2019,07/05/2019,Crítico,16.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
733,4,JUNTA TIPO DRESSER MOD.38 ACO A36 ASTM/EPDM  3 PC (14716),ACESS - JUNTAS - EXPANSAO,IMB,2,"R$ 1.255,07",16.0%,1541,30/01/2024,10/01/2022,Crítico,16.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
676,4,INC-DETECTOR OPTICO DE FUMAÇA C/BASE PC (767),INCN - ELETRICA - ALARME,ILUMAC,3,"R$ 163,88",2.6%,3442,17/09/2016,27/10/2016,Crítico,15.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
682,3,INC-ESGUICHO 2.1/2 X 25MM LATAO PC (3305),INCN - HIDRAULICA - METAIS,M.CASTY,10,"R$ 481,91",15.3%,1600,27/01/2021,12/11/2021,Crítico,15.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1250,5,TE GALV. 6 - IMP PC (8128),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,4,"R$ 1.570,29",13.4%,1866,24/03/2021,19/02/2021,Crítico,15.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1526,5,VALV.GAVETA F.FUND.A126B H/ASC.BRZ FLG 125# 3 PC (6391),VALV - GAVETA - FERRO FUNDIDO,MP,1,"R$ 1.109,39",16.9%,1362,17/06/2021,08/07/2022,Crítico,15.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
362,9,CPVC IND VALV.ESFERA SCH80 SOLDAVEL VITON 3 PC (13181),CONX - PVC - INDUSTRIAL,CEPEX,2,"R$ 2.101,06",20.4%,824,18/01/2024,28/12/2023,Crítico,15.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1301,4,TE PVC DEFOFO 150MM PC (1988),CONX - PVC - INFRA,FORT CONEXOES,1,"R$ 97,30",5.7%,2925,15/12/2016,28/03/2018,Crítico,15.6%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
877,5,PAR DE VALVULAS DE RETENCAO OX/AC CONDOR 404632 UN (12855),CONS - ACESS - OXICORTE,CONDOR,11,"R$ 277,71",11.1%,2142,14/04/2021,19/05/2020,Crítico,15.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
261,9,CONJ.VEDACAO P/VALV.VEB F150 PTFE REF. 3 MGA - PRETO MOD ANTIGO CJ (2944),VALV - ESFERA - ACESSORIOS,MGA,4,"R$ 562,78",18.2%,1124,14/07/2023,03/03/2023,Crítico,15.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1466,5,VALV.ESF.BIP.CF8 F150 2.1/2 TI PP TR OCA ALAV. Fur.p/Atuador PC (17390),VALV - ESFERA - CF8,MGA,6,"R$ 7.038,30",22.2%,537,08/11/2024,10/10/2024,Obsoleto,15.6%,A (70% do valor),Promover com desconto controlado
1633,6,VALVULA CORTA CHAMA VSCR-OX  WM40169686 UN (12844),CONS - ACESS - OXICORTE,WHITE MARTINS,6,"R$ 373,95",15.0%,1566,17/03/2021,16/12/2021,Crítico,15.5%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1599,7,VALV.RET.T/DISCO WAFER INOX 316 PN40  1/2 - I.D. PC (13135),VALV - RETENCAO - INOX,IMP.GIDEOLI,56,"R$ 1.469,12",13.2%,1793,16/01/2020,03/05/2021,Crítico,15.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
143,2,"BARRA REDONDA ACO TREF 1045  55,55 (2.3/16) - 19,13kg/mt KG (11315)",FERR - CARBONO - BARRAS,NACIONAL,45,"R$ 239,85",3.5%,3165,28/07/2017,31/07/2017,Crítico,15.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
823,4,MAN.RETO 100MM  20 KGF/CM2 X 300 PSI CX.INOX R1/2 NPT LATAO - C/CERTIFICADO PC (11766),INDI - MEDICAO - PRESSAO,,1,"R$ 357,45",5.7%,2848,12/11/2021,13/06/2018,Crítico,15.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1376,2,"TUBO INOX 304 C/C SCH 05  6 (168,28 X 2,77 X 6000MM) IMP MT (8134)",TUBO - INOX - SCHEDULE,IMPORTADO,12,"R$ 2.296,20",6.2%,2772,24/05/2019,28/08/2018,Crítico,15.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
135,3,"BARRA QUADRADA INOX 304 19,05 (3/4) x 6000mm - 17,20kg/br KG (13293)",FERR - INOX - BARRAS,IMPORTADO,8,"R$ 182,46",21.8%,525,02/05/2020,22/10/2024,Obsoleto,15.3%,C (10% do valor),Promover com desconto controlado
1459,3,"VALV.BORB.INOX SANIT.304  25,40 (1) SOLDA/SILICONE/ALAV.RETRATIL PC (7290)",VALV - BORB - SANIT,IMPORTADO,4,"R$ 352,31",7.4%,2588,10/10/2016,28/02/2019,Crítico,15.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
91,3,AR-LUBRIFICADOR DE AR 1/2 - PROTETOR METALICO PC (679),PNHD - PNEUMATICA - PREPARACAO,STNC,2,"R$ 240,41",2.9%,3224,24/03/2023,02/06/2017,Crítico,15.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1053,5,"PRESSOSTATO KPI 35 FP (-0,2 a 8,0) DA (0,5 A 1,5) BAR 1/4 NPT Imp PC (7439)",INDI - MEDICAO - PRESSAO,DANFOSS,1,"R$ 335,47",5.4%,2847,19/03/2025,14/06/2018,Crítico,15.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1368,4,TUBO CORRER PVC PBA  50/60MM PC (1820),TUBO - PVC - INFRA,FORT CONEXOES,1,"R$ 36,64",1.5%,3399,15/12/2016,09/12/2016,Crítico,15.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
372,5,CRUZETA PVC PBA  60MM - DIV PC (8993),CONX - PVC - INFRA,FORT CONEXOES,2,"R$ 54,00",3.2%,3148,20/07/2019,17/08/2017,Crítico,15.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1545,8,VALV.GLOBO BRONZE 150 FIG 001 1 BSP PC (830),VALV - GLOBO - BRONZE,MIPEL,1,"R$ 64,15",2.3%,3246,11/12/2019,11/05/2017,Crítico,14.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
374,6,CRUZETA PVC PBA 110 MM - AMANCO PC (2937),CONX - PVC - INFRA,AMANCO,1,"R$ 35,62",2.1%,3265,15/12/2016,22/04/2017,Crítico,14.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
26,14,ADAPT PVC SOLD AA CX DAGUA 25 X 3/4 PC (5242),CONX - PVC - PREDIAL,AMANCO,1,"R$ 13,50",0.6%,3472,06/10/2021,27/09/2016,Crítico,14.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1177,2,SERR-CANOPLA INOX 304 QUADR. 304 50X50 PC (8714),CONX - INOX - SERRALHERIA,AM SILVA,14,"R$ 70,48",21.8%,403,24/03/2025,21/02/2025,Obsoleto,14.8%,B (20% do valor),Promover com desconto controlado
706,11,INC-SINAL.FOTOL.SAIDA EMERG.P/DIREITA 10X20CM PC (6779),INCN - ACESSORIOS - SINALIZACAO,ALIEX,7,"R$ 24,73",1.4%,3331,17/09/2016,15/02/2017,Crítico,14.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1560,3,VALV.GLOBO WCB A105 800L INT/INOX FL.ANSI 150L 1.1/4 PC (10898),VALV - GLOBO - WCB,IMPORTADO,1,"R$ 408,52",0.5%,3424,14/11/2016,14/11/2016,Crítico,14.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1410,2,"TUBO ZINCADO HASTE 2 #18 (50,80X1,25X1000MM) 12 FUROS CANTO PC (12119)",TUBO - CARBONO - INDUSTRIAL,DIV.,7,"R$ 58,17",11.1%,1896,28/08/2018,20/01/2021,Crítico,14.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
758,17,KIT REPARO K42 T02 P/VALV.SOL.1342 1 PC (6875),VALV - CONTROLE - SOLENOIDE,JEFFERSON,1,"R$ 253,81",0.9%,3352,24/01/2017,25/01/2017,Crítico,14.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
239,2,"CHAPA  INOX 201  BOBINA 0,80 X 1240/50 BF PVC - 8,00kg/mt (#22) Imp KG (14782)",CHPP - INOX - LISO,APERAM,205,"R$ 4.187,08",13.8%,1448,28/01/2022,13/04/2022,Crítico,14.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1390,3,TUBO LA DE ROCHA  1 X 50MM X 1000MM - 300ºC MT (5158),INDI - ISOLAMENTO - LA ROCHA,LA ROCHA,34,"R$ 765,18",7.8%,2295,14/03/2019,18/12/2019,Crítico,14.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1558,4,VALV.GLOBO PASS.RETA P/VAPOR ANSI 300# 4 - 200.100.300 PC (15292),VALV - GLOBO - WCB,VALVUGAS,3,"R$ 15.037,07",19.6%,599,07/08/2024,09/08/2024,Alto,14.2%,A (70% do valor),Campanha comercial agressiva
1502,2,VALV.ESF.TRIP.LATAO FORJADO 300 PR NPT 1.1/2 PC (7806),VALV - ESFERA - LATAO,MGA,2,"R$ 752,93",13.0%,1527,17/12/2021,24/01/2022,Crítico,14.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
980,2,PORCA P/TUBETE PP 3/4 (HIDROMETRO) PC (2703),INDI - MEDICAO - VAZAO,,23,"R$ 91,75",17.8%,838,29/06/2023,14/12/2023,Crítico,14.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1193,27,TAMPAO GALV. COM REBORDO 1.1/4 - TUPY PC (10387),CONX - FERRO MALEAVEL - TUPY,TUPY,4,"R$ 24,29",0.1%,3381,22/09/2016,27/12/2016,Crítico,14.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1400,3,"TUBO PRETO QUAD.C/C  20 X 20 X 2,25 X 6000MM - 8,92kg/br** LTb KG (12137)",TUBO - CARBONO - INDUSTRIAL,DIV.,8,"R$ 80,21",15.4%,1170,29/09/2022,16/01/2023,Crítico,14.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
44,6,ANEL DE BORRACHA DEFOFO 250MM PC (3404),CONX - PVC - ACESSORIOS,JCM,11,"R$ 127,62",3.2%,2917,22/12/2016,05/04/2018,Crítico,14.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
797,28,LUVA RED.GALV. 1.1/4 X 1/2 - TUPY PC (3286),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 4,64",0.0%,3360,22/09/2016,17/01/2017,Crítico,14.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
461,2,ELETRODO CARVAO 5/16 X 12 Imp. PC (9305),CONS - SOLDA - ELETRODO,CARBOGRAFITE,199,"R$ 355,53",16.4%,988,31/05/2019,17/07/2023,Crítico,13.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
166,29,BUCHA RED.GALV. CL 150#  3/4 X 3/8 NPT PC (3565),CONX - FERRO MALEAVEL - TUPY,TUPY,5,"R$ 8,01",0.0%,3325,22/09/2016,21/02/2017,Crítico,13.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
880,3,PARAF ALLEN CABECA CHATA M5 X 35MM PC (16607),FIXA - PARAFUSOS - ALEM,BELENUS,300,"R$ 64,08",17.0%,881,31/10/2023,01/11/2023,Crítico,13.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1604,4,VALV.RET.VERT.BRONZE F/POCO FIG 1310 ORING 3 - DULONG PC (9770),VALV - RETENCAO - BRONZE,DULONG,2,"R$ 463,03",13.8%,1334,19/01/2021,05/08/2022,Crítico,13.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
983,2,PORCA SEXT INOX 304 TRAVANTE 10MM MA - IMP PC (15807),FIXA - PARAFUSOS - PORCAS,BELENUS,200,"R$ 130,54",15.3%,1106,07/07/2023,21/03/2023,Crítico,13.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
871,11,"NIPLE INOX 304 SMS  76,20MM-3 PC (10297)",CONX - INOX - SANITARIO,IMPORTADO,1,"R$ 15,96",0.1%,3287,24/02/2017,31/03/2017,Crítico,13.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1373,4,"TUBO GALV.NBR 5590/SCH40 6 (168,30 X 7,11 X 6000) NPT 179,00kg/br KG (2635)",TUBO - CARBONO - CONDUCAO,APOLO,358,"R$ 1.904,56",11.6%,1607,16/05/2019,05/11/2021,Crítico,13.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
123,4,ATUADOR PNEUMATICO DUPLA ACAO DA 105 Q22 F07/F10 IMP PC (15477),PNHD - PNEUMATICA - ATUADORES,UOMI/AQUAP.,4,"R$ 2.235,26",19.3%,498,16/12/2024,18/11/2024,Obsoleto,13.7%,A (70% do valor),Promover com desconto controlado
609,6,FLANGE C/SEXTAVADO GALV. 3 - IMP PC (11573),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,7,"R$ 202,74",1.7%,3021,21/12/2017,22/12/2017,Crítico,13.6%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
233,15,CAP PVC SOLDAVEL  85MM - TIGRE PC (11168),CONX - PVC - PREDIAL,TIGRE,2,"R$ 70,66",3.0%,2840,22/06/2018,21/06/2018,Crítico,13.6%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1195,30,TAMPAO GALV.SEXT  1/2 - TUPY PC (2469),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 2,52",0.0%,3253,22/09/2016,04/05/2017,Crítico,13.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
293,31,COTOVELO 90 PRETO M.F CL 150# 3/4 NPT - TUPY PC (7821),CONX - FERRO MALEAVEL - TUPY,TUPY,10,"R$ 163,28",0.7%,3150,15/08/2022,15/08/2017,Crítico,13.6%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
765,7,LUVA DE CORRER PVC COLETOR 300MM PC (1698),CONX - PVC - INFRA,FORT CONEXOES,1,"R$ 95,85",5.6%,2442,20/07/2019,24/07/2019,Crítico,13.6%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
58,2,"ANEL DE VEDACAO P/VALV.BORBOLETA FOFO EPDM  76,10MM-3 PC (1458)",VALV - BORB - IND,S.FRANCISCO,5,"R$ 300,50",10.5%,1728,10/10/2016,07/07/2021,Crítico,13.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1041,14,PPR PRETO TUBO S-5 40MM 3MTS BR (13762),TUBO - PVC - PPR,TOP FUSION,22,"R$ 2.428,36",8.4%,2030,26/11/2020,08/09/2020,Crítico,13.5%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1515,3,VALV.GAVETA  3/4 BRONZE 1002 - DOCOL PC (1831),VALV - GAVETA - BRONZE,DOCOL,1,"R$ 3,74",0.1%,3214,10/10/2016,12/06/2017,Crítico,13.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1571,7,VALV.PASS.ANGULAR WCB P/AMONIA SOLDA  3/4 A0-20 PC (4337),VALV - GLOBO - REFRIGERACAO,VASTIN,3,"R$ 2.342,31",14.9%,1069,27/03/2023,27/04/2023,Crítico,13.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
230,16,CAP PVC ESGOTO 300MM PC (5999),CONX - PVC - PREDIAL,FORT CONEXOES,2,"R$ 93,58",3.9%,2638,29/11/2018,09/01/2019,Crítico,13.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
36,7,ANEL DE BORRACHA AJE 150MM PC (1571),CONX - PVC - ACESSORIOS,JCM,1,"R$ 10,63",0.3%,3151,15/12/2016,14/08/2017,Crítico,13.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1026,15,PPR BOCAL MACHO E FEMEA 110MM(CONJ) IMPORTADO PC (10545),TUBO - PVC - PPR,TOP FUSION,1,"R$ 95,04",0.3%,3135,01/02/2023,30/08/2017,Crítico,13.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1591,3,VALV.RET.PORT.FOFO PN 10 100MM PC (156),VALV - RETENCAO - FERRO,MP,1,"R$ 609,96",13.2%,1281,20/03/2018,27/09/2022,Crítico,13.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
865,32,NIPLE DUPLO RED.GALV. 3/8 X 1/4 - TUPY PC (3311),CONX - FERRO MALEAVEL - TUPY,TUPY,18,"R$ 40,99",0.2%,3151,19/12/2016,14/08/2017,Crítico,13.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
278,33,COTOVELO 45 PRETO 300# 3/4 NPT PC (1303),CONX - FERRO MALEAVEL - TUPY,TUPY,7,"R$ 66,93",0.3%,3125,30/11/2016,09/09/2017,Crítico,13.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
214,19,CAP A/C SCH40 A234 WPB B16.9 14 PC (6085),CONX - CARBONO - SOLDA TOPO,IMPORTADO,1,"R$ 193,38",0.5%,3091,22/09/2016,13/10/2017,Crítico,13.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1306,4,TE PVC SOLD.IRRIGA 100MM - VIQUA PC (2020),CONX - PVC - IRRIGACAO,VIQUA,1,"R$ 20,29",4.8%,2467,15/12/2016,29/06/2019,Crítico,13.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
736,3,"JUNTA VEDACAO CALD.GRAF.450x390x20x6,35MM PC (12079)",INDI - VEDACAO - JUNTAS,LGT,1,"R$ 90,47",2.6%,2787,22/04/2019,13/08/2018,Crítico,13.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
610,34,FLANGE C/SEXTAVADO GALV. 3 - TUPY PC (3090),CONX - FERRO MALEAVEL - TUPY,TUPY,3,"R$ 144,84",0.6%,3067,18/12/2017,06/11/2017,Crítico,13.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1535,7,VALV.GAVETA WCB A216 H/ASC. FLG ANSI 150#  2 - MDV PC (11465),VALV - GAVETA - ACO CARBONO,MDV,1,"R$ 429,00",0.8%,3032,16/10/2017,11/12/2017,Crítico,13.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
989,2,PORTA ELETRODO 600A MAXI PC (13810),CONS - ACESS - MAQUINAS,LEDAN,1,"R$ 22,16",9.8%,1740,09/09/2020,25/06/2021,Crítico,13.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
886,6,PARAF SEXT A/C ENEGR G5 UNC RI 1/2 X 2.3/4 PC (16574),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,200,"R$ 297,08",15.9%,852,13/12/2023,30/11/2023,Crítico,13.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
337,35,COTOVELO UNIAO 90 GALV. 300# 1/2 PC (1468),CONX - FERRO MALEAVEL - TUPY,TUPY,21,"R$ 221,76",0.9%,3001,22/09/2016,11/01/2018,Crítico,13.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
791,5,LUVA PVC IRRIGA SOLD.PN 80  100MM - VIQUA PC (9218),CONX - PVC - IRRIGACAO,VIQUA,9,"R$ 61,39",14.6%,1036,13/09/2017,30/05/2023,Crítico,13.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
673,5,INC-CENTRAL ALARME ENDER. KSE-80 1L (S/BAT) PC (5394),INCN - ELETRICA - ALARME,ILUMAC,1,"R$ 488,17",7.6%,2022,09/08/2019,16/09/2020,Crítico,13.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
719,17,JOELHO 45 PVC ESGOTO 200MM PC (5884),CONX - PVC - PREDIAL,FORT CONEXOES,1,"R$ 22,35",0.9%,2981,30/01/2018,31/01/2018,Crítico,13.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
294,36,COTOVELO 90 PRETO M.F CL 300# 3/4 NPT - TUPY PC (11441),CONX - FERRO MALEAVEL - TUPY,TUPY,40,"R$ 586,94",2.5%,2749,22/09/2017,20/09/2018,Crítico,12.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
370,36,CRUZETA GALV. CL 150# 1 NPT PC (1728),CONX - FERRO MALEAVEL - TUPY,TUPY,4,"R$ 31,75",0.1%,3086,22/09/2016,18/10/2017,Crítico,12.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1626,7,VALVULA CORTA CHAMA VCF-MO CONDOR 404676 UN (12853),CONS - ACESS - OXICORTE,CONDOR,9,"R$ 347,22",13.9%,1092,03/03/2020,04/04/2023,Crítico,12.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1060,10,PVC-U IND VALV.ESFERA SCH80 ROSCA PTFE 3/4 AT.RM PC (13384),CONX - PVC - INDUSTRIAL,CEPEX,1,"R$ 816,06",7.9%,1951,27/12/2019,26/11/2020,Crítico,12.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
49,8,ANEL DE BORRACHA IRRIGA/ALUMINIO 150MM PC (12301),CONX - PVC - ACESSORIOS,,30,"R$ 115,94",2.9%,2657,21/12/2018,21/12/2018,Crítico,12.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
